humidity;mq5;mq7;temperature;alert;suspected_gas
62.59999847412109;0;128;20.700000762939453;0;Aucun
62.59999847412109;455;127;20.700000762939453;0;Aucun
62.59999847412109;0;127;20.600000381469727;0;Aucun
62.70000076293945;34;127;20.700000762939453;0;Aucun
62.59999847412109;0;127;20.700000762939453;0;Aucun
62.79999923706055;0;127;20.700000762939453;0;Aucun
62.70000076293945;0;127;20.600000381469727;0;Aucun
62.79999923706055;455;127;20.600000381469727;0;Aucun
62.70000076293945;0;127;20.700000762939453;0;Aucun
62.79999923706055;216;127;20.600000381469727;0;Aucun
62.900001525878906;0;127;20.600000381469727;0;Aucun
62.79999923706055;0;127;20.700000762939453;0;Aucun
62.79999923706055;457;127;20.600000381469727;0;Aucun
62.79999923706055;458;127;20.600000381469727;0;Aucun
62.900001525878906;461;127;20.600000381469727;0;Aucun
62.900001525878906;0;127;20.600000381469727;0;Aucun
63.0;0;126;20.600000381469727;0;Aucun
62.900001525878906;0;126;20.600000381469727;0;Aucun
63.0;454;126;20.600000381469727;0;Aucun
63.0;454;126;20.600000381469727;0;Aucun
63.09999847412109;454;126;20.5;0;Aucun
63.09999847412109;443;126;20.600000381469727;0;Aucun
62.900001525878906;458;126;20.600000381469727;0;Aucun
63.09999847412109;0;127;20.5;0;Aucun
63.09999847412109;59;127;20.5;0;Aucun
63.0;0;128;20.5;0;Aucun
63.09999847412109;49;129;20.5;0;Aucun
63.0;0;129;20.600000381469727;0;Aucun
63.09999847412109;228;129;20.600000381469727;0;Aucun
63.0;342;129;20.5;0;Aucun
63.09999847412109;192;129;20.600000381469727;0;Aucun
63.09999847412109;0;129;20.5;0;Aucun
63.09999847412109;0;129;20.5;0;Aucun
63.09999847412109;427;129;20.5;0;Aucun
63.0;0;129;20.5;0;Aucun
63.09999847412109;9;128;20.5;0;Aucun
63.20000076293945;211;128;20.5;0;Aucun
63.0;55;128;20.5;0;Aucun
63.09999847412109;251;127;20.5;0;Aucun
63.29999923706055;0;127;20.5;0;Aucun
63.400001525878906;199;128;20.5;0;Aucun
63.5;0;128;20.5;0;Aucun
63.59999847412109;414;129;20.5;0;Aucun
63.400001525878906;46;129;20.5;0;Aucun
63.59999847412109;0;129;20.5;0;Aucun
63.5;7;127;20.5;0;Aucun
63.59999847412109;0;131;20.5;0;Aucun
63.59999847412109;456;131;20.5;0;Aucun
63.400001525878906;460;131;20.5;0;Aucun
63.5;0;130;20.5;0;Aucun
63.400001525878906;421;134;20.5;0;Aucun
63.29999923706055;462;138;20.5;0;Aucun
63.5;77;144;20.5;0;Aucun
63.5;46;220;20.5;0;Aucun
63.400001525878906;454;302;20.5;1;CO
63.400001525878906;459;345;20.5;1;CO
63.20000076293945;330;396;20.5;1;CO
63.29999923706055;90;411;20.5;1;CO
63.20000076293945;459;414;20.5;1;CO
63.20000076293945;0;411;20.5;1;CO
63.09999847412109;0;387;20.5;1;CO
63.29999923706055;143;325;20.5;1;CO
63.400001525878906;153;277;20.399999618530277;0;Aucun
63.59999847412109;46;253;20.5;0;Aucun
63.79999923706055;0;237;20.5;0;Aucun
63.900001525878906;29;228;20.5;0;Aucun
64.0;249;220;20.5;0;Aucun
63.70000076293945;7;215;20.399999618530277;0;Aucun
63.79999923706055;17;214;20.5;0;Aucun
63.79999923706055;369;209;20.399999618530277;0;Aucun
63.70000076293945;397;206;20.5;0;Aucun
63.70000076293945;463;203;20.399999618530277;0;Aucun
63.59999847412109;312;201;20.5;0;Aucun
63.59999847412109;427;196;20.399999618530277;0;Aucun
63.59999847412109;0;194;20.399999618530277;0;Aucun
63.59999847412109;20;194;20.399999618530277;0;Aucun
63.5;289;193;20.5;0;Aucun
63.5;0;189;20.5;0;Aucun
63.5;0;187;20.399999618530277;0;Aucun
63.59999847412109;229;184;20.5;0;Aucun
63.59999847412109;433;183;20.5;0;Aucun
63.5;0;184;20.5;0;Aucun
63.5;152;182;20.5;0;Aucun
63.400001525878906;150;179;20.399999618530277;0;Aucun
63.5;0;178;20.399999618530277;0;Aucun
63.400001525878906;0;177;20.5;0;Aucun
63.5;97;176;20.399999618530277;0;Aucun
63.5;131;175;20.399999618530277;0;Aucun
63.5;391;175;20.5;0;Aucun
63.5;323;174;20.5;0;Aucun
63.59999847412109;457;174;20.399999618530277;0;Aucun
63.5;324;172;20.399999618530277;0;Aucun
63.59999847412109;0;172;20.5;0;Aucun
63.59999847412109;423;171;20.399999618530277;0;Aucun
63.5;0;171;20.5;0;Aucun
63.5;0;169;20.5;0;Aucun
63.5;73;169;20.399999618530277;0;Aucun
63.59999847412109;0;169;20.399999618530277;0;Aucun
63.400001525878906;0;168;20.5;0;Aucun
63.5;283;167;20.399999618530277;0;Aucun
63.5;12;167;20.399999618530277;0;Aucun
63.400001525878906;222;166;20.399999618530277;0;Aucun
63.5;322;165;20.399999618530277;0;Aucun
63.5;0;165;20.399999618530277;0;Aucun
63.59999847412109;456;164;20.399999618530277;0;Aucun
63.5;0;165;20.399999618530277;0;Aucun
63.5;240;242;20.399999618530277;0;Aucun
63.59999847412109;61;162;20.399999618530277;0;Aucun
63.400001525878906;335;162;20.399999618530277;0;Aucun
63.5;0;162;20.5;0;Aucun
63.5;25;161;20.399999618530277;0;Aucun
63.5;452;161;20.399999618530277;0;Aucun
63.5;230;160;20.399999618530277;0;Aucun
63.59999847412109;0;160;20.399999618530277;0;Aucun
63.59999847412109;463;159;20.5;0;Aucun
63.59999847412109;15;159;20.399999618530277;0;Aucun
63.5;462;158;20.399999618530277;0;Aucun
63.59999847412109;341;158;20.399999618530277;0;Aucun
63.59999847412109;247;158;20.399999618530277;0;Aucun
63.5;0;157;20.399999618530277;0;Aucun
63.5;457;156;20.399999618530277;0;Aucun
63.5;80;157;20.399999618530277;0;Aucun
63.5;0;156;20.399999618530277;0;Aucun
63.5;452;155;20.399999618530277;0;Aucun
63.5;401;155;20.399999618530277;0;Aucun
63.70000076293945;0;153;20.399999618530277;0;Aucun
63.59999847412109;456;153;20.399999618530277;0;Aucun
63.79999923706055;396;152;20.399999618530277;0;Aucun
63.900001525878906;0;152;20.399999618530277;0;Aucun
63.70000076293945;452;152;20.399999618530277;0;Aucun
63.900001525878906;0;151;20.399999618530277;0;Aucun
63.70000076293945;124;151;20.5;0;Aucun
63.70000076293945;454;150;20.399999618530277;0;Aucun
63.59999847412109;454;151;20.399999618530277;0;Aucun
63.59999847412109;299;149;20.399999618530277;0;Aucun
63.70000076293945;253;149;20.399999618530277;0;Aucun
63.70000076293945;449;149;20.399999618530277;0;Aucun
63.70000076293945;462;148;20.399999618530277;0;Aucun
